"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prkg1.7",1.72457512092763e-44,-0.644847392193819,0.029,0.286,5.35532312301658e-40,"13","Prkg1"
"Disp2.8",1.8419496885254e-44,0.328644408119746,0.703,0.392,5.71980636777794e-40,"13","Disp2"
"Dusp3.2",2.13521032385026e-44,0.290708113566152,0.647,0.342,6.63046861865222e-40,"13","Dusp3"
"Epha7.8",2.6009583663448e-44,0.349583561014221,0.596,0.309,8.0767560150105e-40,"13","Epha7"
"Ptk2b.10",2.79041896502185e-44,0.326818913103167,0.65,0.355,8.66508801208236e-40,"13","Ptk2b"
"Nefm.7",2.88357470336112e-44,0.337867527157116,0.443,0.2,8.95436452634729e-40,"13","Nefm"
"Kifc2.5",5.05611114203317e-44,0.328777630067376,0.722,0.414,1.57007419293556e-39,"13","Kifc2"
"Psd3.9",5.88958559355921e-44,0.364653062900677,0.827,0.543,1.82889301436794e-39,"13","Psd3"
"Slc4a4.11",1.64256845848524e-43,-1.0499967680913,0.052,0.304,5.10066783413423e-39,"13","Slc4a4"
"Sptan1.5",2.24368757244246e-43,0.334116244339686,0.938,0.693,6.96732301870558e-39,"13","Sptan1"
"D10Wsu102e.3",2.96602204057039e-43,0.357160569974722,0.698,0.4,9.21038824258324e-39,"13","D10Wsu102e"
"Plk2.9",5.70715280780214e-43,0.311406607111581,0.797,0.476,1.7722421614068e-38,"13","Plk2"
"Dgkh.8",1.23866751121531e-42,0.364031818415027,0.672,0.387,3.84643422257691e-38,"13","Dgkh"
"Rgs11.6",1.24464545595264e-42,0.309482420090621,0.57,0.285,3.86499753436974e-38,"13","Rgs11"
"Sntb2.9",1.80518156080258e-42,0.299135643604245,0.58,0.296,5.60563030076024e-38,"13","Sntb2"
"Crocc.6",2.33834552318277e-42,0.317081279971239,0.474,0.226,7.26126435313945e-38,"13","Crocc"
"Slc4a10.6",2.40608849342904e-42,0.332497394344661,0.858,0.578,7.47162659864519e-38,"13","Slc4a10"
"Kcna2.2",4.06982832675561e-42,0.314676402249984,0.587,0.305,1.26380379030742e-37,"13","Kcna2"
"Caln1.10",4.14596142442056e-42,0.279925006960687,0.619,0.322,1.28744540112532e-37,"13","Caln1"
"Vwa5b2.10",6.92912877952051e-42,0.392888009146081,0.605,0.337,2.15170235990451e-37,"13","Vwa5b2"
"Cdh8.9",7.17841312873067e-42,0.330887128672044,0.616,0.324,2.22911262886473e-37,"13","Cdh8"
"Pde4b.10",1.33265734382563e-41,-1.19356869828451,0.387,0.552,4.13830084978173e-37,"13","Pde4b"
"Kcnh3.6",2.06241513124475e-41,0.290915800886953,0.436,0.197,6.40441770705433e-37,"13","Kcnh3"
"Camk2a.9",2.57644519115387e-41,0.296474243792527,0.977,0.699,8.00063525209011e-37,"13","Camk2a"
"Cdh7.10",3.59355354539469e-41,0.285434654675979,0.454,0.21,1.11590618245141e-36,"13","Cdh7"
"Iqgap1.2",5.75721809679605e-41,0.257749617848253,0.521,0.255,1.78778893559808e-36,"13","Iqgap1"
"Asap1.9",8.14347785738316e-41,0.346130103697547,0.845,0.554,2.52879417905319e-36,"13","Asap1"
"Arhgap26.4",1.20485850221942e-40,0.316176392379095,0.663,0.376,3.74144710694196e-36,"13","Arhgap26"
"Dlg4.6",1.26179913220861e-40,0.331564975638266,0.73,0.424,3.9182648452474e-36,"13","Dlg4"
"R3hdm1.9",2.53054246100083e-40,0.282932539576619,0.969,0.792,7.85809350414588e-36,"13","R3hdm1"
"Rab36.5",3.51710098615315e-40,0.292209106461999,0.595,0.31,1.09216536923014e-35,"13","Rab36"
"Trpc1.2",4.43399921913406e-40,0.322432263165196,0.814,0.515,1.3768897775177e-35,"13","Trpc1"
"Syt17.6",5.60126453057349e-40,0.275339158628991,0.307,0.122,1.73936067467898e-35,"13","Syt17"
"Cntfr.6",7.14157825278486e-40,0.255397104930639,0.634,0.334,2.21767429483728e-35,"13","Cntfr"
"Chd5.7",1.20482815558049e-39,0.323887274954115,0.631,0.341,3.7413528715241e-35,"13","Chd5"
"Trio.3",1.79220399867855e-39,0.318443646406311,0.725,0.449,5.56533107709651e-35,"13","Trio"
"Thrb.6",1.8783945938769e-39,0.260921327651356,0.538,0.265,5.83297873236594e-35,"13","Thrb"
"Slc4a7.4",4.20144702341019e-39,0.262379509451483,0.502,0.245,1.30467534417957e-34,"13","Slc4a7"
"Fndc4.5",4.35577119593677e-39,0.342413422598713,0.647,0.354,1.35259762947425e-34,"13","Fndc4"
"Lzts1.10",4.79296057765007e-39,0.309815105456249,0.595,0.319,1.48835804817768e-34,"13","Lzts1"
"Grin1.9",7.24246438831635e-39,0.307089203398723,0.971,0.717,2.24900246650388e-34,"13","Grin1"
"Grin2b.8",7.53915538841628e-39,0.319879815393684,0.985,0.763,2.34113392276491e-34,"13","Grin2b"
"Unc5d.10",7.5702414492984e-39,-0.683970695325983,0.064,0.301,2.35078707725063e-34,"13","Unc5d"
"Pcdh15.8",7.97117556220682e-39,-0.857855172202648,0.06,0.294,2.47528914733208e-34,"13","Pcdh15"
"Sptbn2.5",9.87852130277285e-39,0.320424191305708,0.658,0.374,3.06757722015005e-34,"13","Sptbn2"
"Slc4a3.9",2.43856019664035e-38,0.311937563949379,0.745,0.44,7.57246097862729e-34,"13","Slc4a3"
"Atp8a2.5",3.41208268075585e-38,0.271852525944983,0.714,0.41,1.05955403485511e-33,"13","Atp8a2"
